label,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49
Orange,-10.848972,5.692914,-10.320401,-8.14213,-0.06774092,1.8520644,-0.90675825,-3.4598372,-0.04892188,-1.4150819,-0.9359991,-1.4261962,-2.5887318,2.3481274,-0.5251935,0.42649463,-2.8855064,2.1606987,-0.3782877,-1.8578869,-1.9212581,0.07343566,1.343187,-0.22139123,-1.4531068,0.5445507,1.246221,0.56357473,0.34001365,0.4506702,0.21032642,1.0343302,-1.2299857,-0.6981821,0.12299794,-0.64639425,-2.1939468,1.5939201,1.1484926,0.30885088,2.3320432,-1.4627678,1.313811,-1.9624944,0.7137241,-0.4775685,1.3936919,-1.4101992,1.9950334,1.2977144
Orange,-8.780562,0.35114044,-4.424001,-4.6199665,1.4307098,8.313281,-5.8906546,2.2821448,4.532577,0.49135605,2.718586,7.7254906,7.6947155,-7.4052978,0.059599027,-2.5429451,0.6140978,-1.1034534,-1.6420144,0.14824949,-1.3833225,-0.22190149,-6.0107117,-0.3781762,4.511338,2.7990932,0.7109423,-1.7926472,8.07602,-7.332619,0.6407548,2.1298308,1.0681491,0.47378713,-0.61077785,3.3462503,3.668241,-0.97458994,-2.665122,0.83596337,-1.4774432,1.6736934,-0.84631115,0.65138304,-0.8583866,-1.090951,-0.41975757,-1.0074081,-0.74669296,-2.4566214
Apple Braeburn,-11.960206,-13.16413,5.5366426,6.219573,-1.8729501,0.01841806,-0.7495067,4.5754733,10.965016,-1.674272,-2.9210541,-1.9280646,0.46401632,0.42439377,1.7369998,9.030185,2.5591307,-0.24233967,-0.8948819,-0.38405004,-0.27265403,0.14409302,3.0618403,-0.36518297,0.30541587,0.28782067,1.2276053,-0.7553151,2.215404,1.1308458,-6.4204574,0.29564375,-2.811097,1.7201878,2.3403263,-1.3549808,1.7364097,1.0151438,0.74462,-2.5553887,-0.22202389,-0.15091315,0.29674706,1.3410033,0.035895597,-0.17715155,-0.5059462,-0.61489946,-0.24922778,-0.51540726
Apple Braeburn,-11.835955,-12.829106,5.677349,6.9259663,-1.3819724,-0.27036402,-0.5403119,5.2943683,10.234434,-1.7418476,-2.9248755,-1.5498426,0.032635484,-0.0023401608,1.7020707,9.70522,2.9654713,0.5237874,-1.0140504,-1.0362698,-0.6713564,-0.21961562,2.7498496,-0.6855025,-0.4472641,0.122674,1.0518436,-0.7899936,2.0323,0.6471082,-6.1079216,-0.029118055,-2.6695697,1.4209502,2.8305786,-1.3235466,0.9504736,1.5389409,1.2789232,-2.050761,-0.51876634,-0.33439353,-0.71116406,1.7134762,-0.03896412,-0.7253957,-0.014313153,-0.31241736,-0.6324792,-0.8219098
Apple Braeburn,-10.951853,-13.893046,9.906385,7.612684,-2.480273,-0.1804428,0.7405897,1.6667295,16.667267,-2.2972958,-2.7522156,-2.4830425,-1.599447,1.2833017,-0.8236563,-7.6761765,0.029144462,-2.423527,3.6161017,3.0983572,-4.554967,-5.679581,0.32158086,-1.4753113,-2.1913111,0.7731465,0.21340178,0.02017002,0.61477435,-0.3054297,2.6957731,-0.90678996,1.0096222,-0.7261722,-0.36578333,1.871978,-1.9388127,-0.14731786,-0.5059474,0.9723843,0.73205566,1.2825077,-0.16839086,-0.23397264,-0.024995161,-0.81618154,-0.67206746,-1.0773101,-0.23853378,-0.32686028
Apple Braeburn,-13.766023,-14.206283,5.1664953,-0.44699976,-1.486923,-2.7900038,4.7496705,-4.9722414,-3.0298588,1.7614118,1.3788034,0.8899448,0.36894557,0.08953437,0.100415595,-0.42208508,-0.9617211,0.5410458,-0.910444,0.79339015,2.2361474,1.305177,1.5699221,0.106767505,0.33694178,0.08407925,4.7518935,1.2053655,2.0930452,2.3410652,3.2287943,2.0392447,0.30977055,-0.5027258,0.97871387,-2.2205992,-0.19816603,0.7489162,-2.2231488,1.4848468,-2.786721,1.7408253,2.9146786,1.7571405,2.5592043,-0.829764,0.36570218,0.07381114,0.13145979,0.70222324
Apple Braeburn,-12.5794325,-17.024616,6.7568254,-1.5646447,-0.83897984,-4.223693,5.4477315,-5.4684877,-6.416034,3.2708192,2.3992188,2.5603364,0.014273075,-2.0520992,0.2420111,-0.45530772,1.2203124,-0.6506865,0.6881824,0.7887851,-0.7489319,-3.109443,-0.93822604,0.23059598,-0.090511486,0.25629327,-3.92141,-0.12595214,-1.3160353,-2.4574685,1.6568167,-0.05438821,-0.23415548,0.8689282,-2.4255712,-0.7231502,1.3184236,-0.29076862,0.6344137,-1.525709,2.411456,0.7551024,0.5599312,-1.4231595,-0.823519,0.65708536,-1.6936175,-0.27642304,2.4944696,1.6989964
Apple Braeburn,-12.906893,-17.128698,7.164619,-1.2677122,-0.67687213,-3.482127,4.749926,-5.565801,-6.7318196,2.8281415,1.7756789,2.1501946,-0.25799704,-1.4195505,-0.07965169,0.77545017,1.1690319,-0.8812711,0.5940074,0.27164683,-1.26354,-0.9045303,-1.0859814,-0.2995685,0.19651122,0.561496,-3.6567798,0.25823492,-1.0095869,-2.2621443,0.40474632,-0.23027669,0.07256529,0.98007905,-1.7750325,-0.40743762,1.1522062,0.29297972,-0.05883523,-0.9173042,1.4983021,0.58584464,0.7719543,-0.581161,-0.017452732,0.6288039,-0.41935015,-0.7063687,0.73616546,0.66825575
Lemon,-6.3067036,12.505873,-6.9873185,1.3274078,-2.00412,-10.34112,6.742946,9.027482,-2.9629395,-4.2954392,-2.8775146,3.5868533,-0.37678346,0.20702583,1.9888823,0.7773759,-4.114699,3.9502716,-0.58462435,-3.5367486,0.3124836,-2.05389,3.1535084,-1.6729448,-1.526664,0.54163665,-0.28415662,-1.3411015,1.6108027,-1.8849381,0.2066325,-0.24497567,0.43055725,0.11247401,-0.19178037,0.36175472,-0.29086018,0.037557986,-0.68704486,-0.52168906,0.16307382,0.8983864,-0.59906846,0.4566386,-0.0658151,-0.016299522,-0.14587432,0.14351277,0.3139516,-0.029301701
Lemon,-6.74099,11.609079,-5.5308566,-2.0047884,-0.7415125,-7.4539866,6.355846,6.906429,-1.0787903,-1.6116852,-0.961311,1.5376568,-0.6782348,0.25931743,-0.6382167,-0.78971493,1.1551523,-0.61546797,0.6083787,1.0568544,0.46407792,0.008312738,-1.1626264,0.0037326885,1.060328,-0.28276336,0.43666142,0.49244007,-0.9098422,-0.019902492,1.0435994,0.090642236,0.25801602,-0.44173616,0.18510559,-0.33270696,0.7760206,-0.8570877,0.26597023,0.13527006,0.19998962,0.45810848,0.56128824,-0.13385223,-1.4571538,-0.46255296,-0.13460003,-0.7970778,-0.8721014,-0.016009327
Lemon,-6.256785,10.257968,-4.460553,-1.0250446,-0.951151,-6.9358883,6.5435843,7.0064845,0.10971946,-0.56429213,-0.40355426,0.26143947,0.017162083,0.1318946,-1.1888238,-1.1668874,2.2926266,-3.6925728,0.34698173,2.42041,0.32273635,1.6569095,-2.8588977,1.1160336,0.9631845,-1.1622349,1.4668742,0.23862483,-1.1933663,1.2978177,-1.372811,0.27325737,1.1978317,0.31565467,0.6838646,-0.11779317,-0.49794254,0.7607809,1.0045246,-0.7248538,0.05896531,-0.9852597,0.4905812,-0.6590572,0.61915255,0.29451823,1.1071366,-0.40976357,0.5909294,-0.16896246
Lemon,-6.148051,10.553588,-5.081549,-2.6968331,-0.87378705,-7.120082,7.160222,6.8291545,-0.85213464,0.040153928,-0.2810138,-0.3286018,0.32297796,-0.06442217,-1.775794,-0.7889999,3.2978625,-4.2860937,0.732618,3.8064978,-0.07609169,1.4715571,-4.651796,2.404384,3.3111138,-1.3994381,0.7920608,0.40652853,-0.17979245,1.3347347,-1.2401706,0.05390993,-0.4280795,-0.71053725,0.9730786,-0.63839126,-0.46465987,0.29663634,0.49309534,0.243021,-0.034444284,-1.5757678,-0.025594639,-0.46508756,0.9704832,-0.44530052,0.71317744,-0.0671425,0.01503328,1.0407976
Lemon,-3.925276,9.689031,-3.4182014,12.300508,1.85812,8.482099,-2.5819266,7.5930133,2.0836751,20.624537,3.7258606,0.70128495,-4.8054247,2.453269,-0.12108557,-2.944488,-0.61986476,0.5948911,-1.0574481,0.417264,1.9099873,-0.8508962,-0.4759272,1.4931947,-0.08431421,0.19119114,0.90582633,-2.1687565,-0.27926812,-0.5778912,-0.9811163,-1.1052594,1.6973686,1.6198559,-1.3401223,0.40411702,0.3193256,-2.3183587,1.1997708,-0.1368795,0.6105657,-0.5436495,2.5013406,-0.40713307,0.35419494,1.3545127,1.2523412,-0.49441448,0.6136971,8.447017E-4
Lemon,-5.804536,9.854955,-3.9418805,14.407805,0.71668434,3.660205,-1.9004118,1.4430354,-0.13812922,9.35901,1.8097996,1.1780169,-1.309674,0.4269693,0.0072915503,0.7133965,0.029784372,-0.3921677,-0.7448367,-0.9892591,0.58122516,2.3230605,0.4138189,-0.118505925,-0.20061193,-0.36637226,0.30046207,0.67000216,1.5860473,-0.17465445,2.1881166,-2.3283298,-3.8273804,-4.614382,3.722703,1.6230605,-1.7811626,-2.3570607,-2.5367696,-2.678904,2.27385,2.6217322,-1.0002334,-0.60308266,1.4413521,1.6763628,-0.04880196,-0.38612804,0.7624967,1.4254782
Lemon,-4.1383,11.971446,-4.37898,22.37132,0.8039234,-0.17619978,-4.2840037,-11.110566,-1.3172418,-5.67242,0.2979414,-2.3493478,2.2440813,-1.7805456,0.056800775,0.54986876,3.3722703,-2.216482,0.9948745,1.8184938,-0.9201862,0.21714093,-0.7661386,-0.75658655,-1.2361094,1.217217,0.73221296,0.5279425,0.27494755,-0.6129309,1.636683,-1.3576235,2.017113,-0.57458097,3.3905275,-2.6777663,-1.5862105,-1.2358534,-0.7419157,-0.22729756,2.211812,1.1781307,-0.34870595,-1.6125728,-0.61929417,-0.11752483,-0.6383952,-0.30783436,0.81679755,-0.8494668
Lemon,-3.5986958,12.252253,-3.6179535,19.775803,1.1534418,0.33909062,-3.1155715,-9.037684,-0.8216312,-3.935417,0.80567133,-2.1550398,1.9742998,-1.1389246,-0.21688946,0.12928334,2.7001002,-2.3382537,1.3239255,1.144919,-1.133336,5.507412,0.10677862,-1.0024855,-2.7963784,2.262155,-0.5025781,0.27729964,1.2354819,0.0120894415,1.144975,-1.705997,3.1470354,-0.1094403,3.3108487,-6.7917857,-1.3141859,0.6626919,0.26579612,1.7752043,1.4728211,3.074112,-4.573577,-2.9838612,-1.2725632,-1.5501758,0.05249845,1.1612755,-0.07614526,-2.0272164
Banana,22.07672,-0.9072344,3.6396031,-3.2446706,42.28572,-6.7479496,2.6261394,-2.7832043,2.2308552,0.41712123,-0.7464739,-1.9953393,-0.35474828,-0.45552334,-0.111994594,-0.48503187,1.0433964,2.6155403,-3.1891885,0.0064380732,1.6723622,-0.20108815,-0.8962302,-2.9176588,1.7399324,4.249893,-0.91328305,5.268089,2.3387809,1.7091179,-0.50936294,-3.160683,1.0583968,1.9499261,0.2844789,1.1072143,-1.1791761,0.029193355,1.0281509,1.16757,0.09414275,0.3433077,0.9703336,-0.12312151,0.55806136,-0.2610766,-1.2990705,1.1010224,-1.11253,0.5921256
Banana,12.760799,14.400473,27.258858,-3.158222,-6.9544044,1.1225067,-5.0843883,2.1170254,1.9396982,-4.818422,11.837367,2.490815,-7.2521076,-1.1813605,-2.2315233,0.50683135,0.6183709,-0.68727815,1.7939103,-1.7070322,3.7352874,-0.45933074,-1.4981309,0.7778867,-1.7885481,-2.5954187,4.591461,3.3630207,-1.4078777,-4.782094,3.0620818,-2.0026293,-2.4161656,4.460169,2.629419,2.8374517,0.9626689,6.791689,2.392184,2.050254,-1.4559704,2.669379,0.6592452,-3.7658315,0.65813553,2.2233255,-3.12028,-0.6719412,-3.4094465,-3.051478
Banana,21.892727,-0.7962877,3.3404164,-3.5543926,40.216434,-7.1271343,1.530717,-2.86722,2.4944115,1.6421863,-1.8830347,-1.5968467,2.028167,-0.48704153,-0.46295395,-1.2784643,1.7168717,3.0581336,-3.6263661,0.19901185,1.2741411,0.49581966,-1.2969486,-2.2033787,2.4955127,3.829344,-0.97005093,5.9694405,2.2251048,1.8197308,-0.80576444,-3.3947773,1.551397,2.4722302,1.381584,0.97018385,-1.8543373,1.3254273,1.5103858,3.86884,1.6896614,-0.4249499,0.62861097,0.8770703,0.26293942,-0.4617189,-1.558958,0.9563957,-2.6472719,2.9152968
Banana,34.121685,-1.0387433,2.2255414,4.2182918,-3.2260702,23.679085,18.21438,0.96198374,-4.9207716,-3.2813134,-3.4762459,-1.2119148,-2.664962,3.5747237,11.45278,0.724404,0.43867648,-6.1190047,3.7923477,-7.4003487,0.9567683,-0.65633905,1.8655337,-3.1619353,9.400849,7.510001,2.8485546,-4.0136633,-6.252233,-1.0686238,1.2325455,0.24509077,-0.15130681,1.3442312,0.42587554,-1.0380625,-0.04157756,0.44342735,0.36073002,1.7151701,0.067921445,1.0508271,-2.2800934,2.2022548,1.9725299,-0.16210821,0.14937036,-0.4416751,0.14041752,1.1261964
Banana,40.878563,-10.771889,-13.171454,-1.580488,-6.119317,-6.4253497,-5.1626973,-0.7536215,1.4038621,2.7230265,-1.7509567,-4.3476434,-6.532975,-10.197373,5.9123254,-0.57148856,-1.7445815,-3.1888816,-0.49407178,2.1942973,-5.699837,2.4398613,5.5274873,1.8928634,3.5738406,-3.6733873,1.7776133,-1.0535856,-0.48320255,-0.6707141,-2.8493485,1.812162,-0.44055915,-0.7316526,-3.5833933,0.72631186,-2.8970063,2.6855524,-2.005454,0.759666,3.6933558,4.242133,2.7489252,-0.32255146,-0.4623778,0.42309096,1.4151546,1.3192697,1.4791119,-3.4774582
Banana,37.86132,-13.584358,-10.733384,0.9323583,-3.1892817,-2.790152,-4.6941333,-0.43810397,1.3563383,-1.6551523,7.2844386,11.398996,9.254128,18.341885,3.7073092,-0.9898924,0.3744181,0.46414188,-0.6369816,0.73384416,-4.2315955,3.3818574,5.0403066,-0.5927858,3.0753503,-5.2902303,-2.698833,1.950353,1.1354994,-0.8831936,3.8991847,-4.0388083,2.4374385,0.36327574,3.107074,-1.5626272,3.2656848,0.33713523,1.3105645,-2.8208466,-2.8868632,-4.0573144,-0.6372155,0.5657809,-0.6387215,-0.75431156,0.07608345,0.059982605,1.021169,0.9575306
Banana,37.474865,-10.529115,-13.967107,-0.82419586,-7.0901604,-8.590701,-4.095879,-0.13239875,0.95706064,2.2911088,0.2788956,-3.854799,-2.3955178,-6.7900944,-6.366302,1.7810749,-1.7357963,-2.1517556,6.936751,-3.8103077,1.2837976,-0.708133,0.752508,0.84760064,1.3881377,-0.6956854,-0.5708744,2.0730448,1.318372,0.37244713,2.404504,-0.73654515,1.1252992,0.32405546,1.5865135,1.15972,1.7450641,2.176082,0.15222898,2.061095,2.527165,-2.3742304,-1.0373535,5.3271832,0.73512423,1.309778,0.5987214,-1.1626153,0.036187526,-0.20915785
Banana,36.78993,-12.156189,-10.665379,1.8854675,-2.1483436,-2.853414,-4.7089024,0.25020736,1.2823089,-1.9200836,8.869421,12.215814,10.676629,18.953562,1.4512542,-0.75893795,1.493271,2.798621,-1.976733,3.356336,-5.60205,4.091056,5.2657113,1.2747637,2.758736,-5.6169205,-2.093215,-0.061240494,0.08150229,-1.6349647,1.23139,-2.9331214,0.8469188,1.4878484,2.0101607,1.3619213,0.811548,0.828849,0.543143,-0.024342189,0.18368857,-0.9172651,0.26528928,0.64898837,0.74559236,0.44354153,0.57896334,1.223201,0.7058304,-0.31821686
Banana,40.79398,-13.962555,-14.038227,-1.8057976,-9.643475,-8.79165,-6.5360923,-2.8702948,1.9153532,0.22641219,0.7496302,-0.51964223,-0.83283144,1.0643892,1.9623241,-0.32818308,0.29688147,-1.3611968,1.5109023,-4.0692177,5.04454,-2.6897616,-4.26329,-0.67050415,-3.479781,3.5138738,0.49456957,-1.4916519,0.46555656,0.6938106,0.7784936,-1.2602277,2.083359,-1.9999932,2.6173065,-3.4876733,0.9712037,-1.1413941,0.21669652,-3.2063944,-4.381612,-2.198691,1.2404262,-1.5837053,-1.0056329,-1.2627136,-1.238535,-0.4846394,-1.2713976,0.61767775
Orange,-11.470821,1.3613063,-6.709446,-12.252116,-0.84584635,3.0000248,-0.46990523,-3.892287,0.21758397,0.7338916,0.45066103,-2.6707573,-3.0046303,3.0933986,-0.6954417,0.71638256,0.8683135,0.80538553,0.96647143,0.8327394,-1.8571022,0.72584563,-1.4608861,0.9092423,-0.49878764,0.2685896,-0.8054665,0.748176,-2.4874575,1.9107745,1.7645957,-0.6535624,-0.17996994,0.79669684,-0.89959544,2.45704,3.1634352,-2.0997095,-1.5102762,-0.7500087,-2.7351058,2.5988574,0.15858695,0.63131076,-0.5253807,0.19959521,-2.1627483,1.2691294,1.2109289,-2.426003
Orange,-10.465237,3.7222817,-6.6577325,-7.1323633,1.1780034,5.307982,-4.2049146,0.6361829,2.2333379,0.61776996,1.1751202,2.4633234,3.9365523,-3.2825444,0.97622406,-0.44730592,2.0137515,-3.7647233,-0.11769695,2.093514,4.4743047,-2.712452,3.1511612,-0.36615428,-0.9558988,-0.7178898,-0.65546393,0.3947531,-2.937452,2.3511312,-1.2553862,-1.933389,1.960335,0.28807992,-0.31898487,-0.07767842,2.369115,-2.053085,-0.8346689,1.2443326,0.81942785,1.3153672,0.37079027,-0.17566356,-0.57359505,-0.9119865,-0.17833132,-1.8050652,-0.77119774,-0.19792326
Apple Braeburn,-8.353222,-18.564901,7.115008,2.5248308,4.6604514,7.1812744,-19.87342,19.272728,-21.993328,-7.4303885,-4.3951964,-8.611464,-3.064583,5.3920164,-0.75966626,-1.9223574,1.3822311,-0.93299043,0.010197348,0.98688316,-0.059710454,-1.1022295,0.49101236,-0.58562493,0.33334136,0.47139895,-0.25581065,-1.8827648,2.0661664,-0.93903923,-0.8704055,-0.90245026,-1.1390074,-0.36823016,1.6545718,-1.5027685,2.085187,-0.378588,0.1128049,2.6891809,-0.7893619,0.93238854,0.06451002,-0.2007882,0.70483255,-0.30924016,0.4907212,-0.07473839,-0.025256645,-0.17825979
Orange,-8.506804,1.2278364,-5.30238,-3.8715043,2.125965,9.111272,-7.3118796,1.5448728,4.320564,0.591512,2.5494344,6.1815095,6.03763,-5.860036,0.04578522,-1.0845226,-0.84361434,1.4143909,-1.0097059,-0.6862711,-1.2624716,0.87120676,-5.197246,-0.48730507,4.2769575,2.0281892,0.85640633,-2.682009,7.945914,-8.3797,-0.53933465,2.179791,0.6066035,0.23960732,0.5717635,0.52254856,1.7255254,0.17092368,-1.0064958,2.0002918,0.1807282,-1.0328839,0.6211505,0.61488026,-1.0835267,-1.0541377,1.6172844,-1.1552,-1.9489268,-1.679597
Orange,-10.762511,4.26571,-7.794793,-8.464841,0.45007634,4.1037993,-2.6083941,-3.7881963,1.6776025,-1.226117,0.9721018,-0.5666051,1.1059723,-0.38906008,0.43879703,0.6916521,0.96201855,-1.9587034,-0.71043736,1.3958892,5.283002,-0.75044763,2.6645713,-1.1642628,0.564506,-1.5647728,-2.2519472,-1.5658898,0.45065647,-1.262231,-0.38005754,-0.3517663,0.49287218,0.708384,-0.14728509,-0.52380586,-3.004676,1.6889284,0.62949723,0.72841394,0.58740354,-1.990395,-0.88429594,-0.037475448,0.54018646,1.1211168,0.5856864,0.7724471,-1.0057076,1.5239223
Orange,-7.180037,2.9180994,-9.335742,-8.58119,3.250293,7.740191,-9.32292,5.2158313,-1.910225,0.65734273,1.5624989,5.215305,5.7657347,-6.0564938,-0.09263416,-2.2853372,-3.0376074,0.35004297,2.7038374,-2.0687706,-4.701281,-2.6302485,1.9097413,-0.30754113,-0.9944731,-0.88401294,1.4062586,5.1432734,-6.8548446,6.281396,1.653462,-1.5899428,-1.345147,1.1555091,-0.3371492,-3.783617,2.3621893,-0.56402665,-0.092721604,-1.5598624,1.9430773,1.7527663,-0.27613127,1.7454194,-1.4245716,2.096593,1.3253862,0.37894604,-4.5770893,0.5991436
Orange,-10.995718,5.1026278,-8.447097,-8.466421,-0.24820077,2.971251,-1.9947876,-3.4509096,1.6175138,-2.4987226,-0.25955012,-1.4502448,-1.1221209,1.1430043,0.44903165,1.3662632,-1.4881227,1.2979277,-0.5791473,-0.7825156,2.226059,0.4312191,1.8455547,-1.3299912,-0.68145424,-0.93530554,-0.6977104,-0.76743615,0.31218994,-1.069402,-0.4822419,0.36279625,0.28191325,0.7106356,-0.34509835,0.23972085,-1.2220663,1.639979,1.590995,0.257534,1.1765746,-2.262033,0.8323473,-0.20274101,0.19573222,0.5000025,0.64871365,-0.6764835,-0.020947931,1.2854465
